Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,2.375000,2.451389,2.256944,2.402778,0.944861,140122800
1985-02-01,2.402778,2.722222,2.347222,2.666667,1.048632,123732000
1985-03-01,2.666667,3.069444,2.645833,3.034722,1.193364,169671600
1985-04-01,3.034722,3.034722,2.805556,3.000000,1.190015,146140200
1985-05-01,3.055556,3.243056,2.923611,3.236111,1.283674,146062800
1985-06-01,3.277778,3.347222,3.187500,3.340278,1.324994,124749000
1985-07-01,3.333333,3.361111,3.069444,3.180556,1.271065,157482000
1985-08-01,3.194444,3.305556,3.131944,3.305556,1.321018,72124200
1985-09-01,3.305556,3.361111,3.187500,3.326389,1.329344,75801600
1985-10-01,3.333333,3.569444,3.277778,3.493056,1.406581,104531400
1985-11-01,3.493056,3.861111,3.479167,3.798611,1.529622,62560800
1985-12-01,3.805556,4.187500,3.763889,4.041667,1.627495,107505000
1986-01-01,4.034722,4.090278,3.666667,3.944444,1.598508,108340200
1986-02-01,3.951389,4.305556,3.847222,4.291667,1.739223,145519200
1986-03-01,4.291667,4.833333,4.277778,4.763889,1.930592,103867200
1986-04-01,4.763889,5.291667,4.472222,4.902778,1.998043,119993400
1986-05-01,4.819444,5.895833,4.638889,5.645833,2.300865,112819800
1986-06-01,5.645833,5.875000,5.458333,5.625000,2.292374,96862800
1986-07-01,5.625000,5.937500,4.979167,5.104167,2.089703,110920200
1986-08-01,5.125000,5.500000,5.041667,5.312500,2.174999,65061600
1986-09-01,5.333333,5.333333,4.083333,4.416667,1.808236,133881000
1986-10-01,4.458333,4.854167,4.229167,4.583333,1.887110,108854400
1986-11-01,4.583333,4.916667,4.166667,4.604167,1.895689,78437400
1986-12-01,4.520833,4.750000,4.270833,4.333333,1.784177,89069400
1987-01-01,4.375000,5.479167,4.333333,5.187500,2.148481,154501200
1987-02-01,5.125000,5.583333,5.104167,5.541667,2.295164,97323600
1987-03-01,5.562500,5.958333,5.354167,5.708333,2.364191,127261800
1987-04-01,5.541667,6.000000,5.020833,5.333333,2.219025,101958600
1987-05-01,5.333333,5.916667,4.958333,5.833333,2.427057,104049000
1987-06-01,5.770833,6.229167,5.604167,6.000000,2.496402,99363600
1987-07-01,5.916667,6.645833,5.708333,6.500000,2.717450,97011600
1987-08-01,6.458333,7.041667,6.208333,6.500000,2.717450,87384000
1987-09-01,6.604167,6.833333,6.020833,6.625000,2.769707,96512400
1987-10-01,6.604167,6.770833,3.583333,5.645833,2.370749,142600200
1987-11-01,5.500000,5.750000,4.979167,5.166667,2.169540,82489800
1987-12-01,5.270833,5.750000,5.000000,5.562500,2.335755,80635200
1988-01-01,5.562500,5.916667,5.000000,5.583333,2.357484,60889200
1988-02-01,5.604167,5.979167,5.437500,5.916667,2.498228,74884200
1988-03-01,5.895833,5.979167,5.625000,5.833333,2.463044,81705600
1988-04-01,5.791667,6.145833,5.541667,5.791667,2.457259,74170200
1988-05-01,5.833333,6.041667,5.458333,6.041667,2.563328,53329800
1988-06-01,6.000000,6.333333,5.916667,6.208333,2.634039,88179000
1988-07-01,6.229167,6.250000,5.583333,6.020833,2.568924,59908800
1988-08-01,6.020833,6.104167,5.687500,5.979167,2.551144,56747400
1988-09-01,5.937500,6.583333,5.812500,6.541667,2.791149,64338600
1988-10-01,6.500000,7.270833,6.333333,6.916667,2.968773,87745200
1988-11-01,6.916667,6.958333,6.416667,6.812500,2.924063,64981200
1988-12-01,6.812500,6.812500,6.270833,6.583333,2.825700,94162200
1989-01-01,6.583333,6.854167,6.291667,6.791667,2.931057,94891800
1989-02-01,6.750000,6.916667,6.500000,6.666667,2.877110,64924200
1989-03-01,6.729167,7.416667,6.645833,7.416667,3.200788,90967800
1989-04-01,7.395833,7.937500,7.354167,7.937500,3.443360,76909200
1989-05-01,7.916667,9.041667,7.895833,9.020833,3.913319,97374600
1989-06-01,9.000000,9.437500,8.520833,8.875000,3.850056,81565200
1989-07-01,8.854167,10.354167,8.687500,10.354167,4.512243,72543600
1989-08-01,10.312500,10.395833,9.479167,9.833333,4.285270,90161400
1989-09-01,9.833333,9.937500,9.187500,9.812500,4.276190,70527000
1989-10-01,9.770833,10.354167,8.979167,10.333333,4.522327,84387600
1989-11-01,10.270833,10.875000,9.895833,10.583333,4.631739,56536200
1989-12-01,10.645833,10.979167,10.166667,10.666667,4.668208,56111400
1990-01-01,10.666667,10.770833,9.000000,9.583333,4.210443,85749000
1990-02-01,9.583333,10.083333,9.354167,9.750000,4.283668,63050400
1990-03-01,9.708333,10.687500,9.416667,10.437500,4.585724,84162000
1990-04-01,10.312500,11.416667,10.291667,11.041667,4.872582,67071600
1990-05-01,11.187500,12.395833,10.937500,12.312500,5.433388,76986600
1990-06-01,12.416667,13.041667,12.000000,12.937500,5.709194,70145400
1990-07-01,12.895833,13.916667,12.750000,12.833333,5.685971,77839800
1990-08-01,12.833333,13.166667,10.875000,12.520833,5.547515,117313800
