Date,Open,High,Low,Close,Adj Close,Volume
1985-01-01,1.187500,1.492188,1.183594,1.421875,0.857766,212694400
1985-02-01,1.421875,1.496094,1.335938,1.421875,0.857766,191907200
1985-03-01,1.429688,1.464844,1.359375,1.394531,0.841271,118300800
1985-04-01,1.398438,1.515625,1.390625,1.464844,0.885054,105974400
1985-05-01,1.468750,1.648438,1.421875,1.636719,0.988900,126944000
1985-06-01,1.671875,1.769531,1.656250,1.707031,1.031382,111020800
1985-07-01,1.742188,1.742188,1.468750,1.546875,0.935840,223401600
1985-08-01,1.562500,1.621094,1.515625,1.617188,0.978380,105872000
1985-09-01,1.613281,1.617188,1.480469,1.492188,0.904004,88809600
1985-10-01,1.492188,1.734375,1.488281,1.656250,1.003396,102467200
1985-11-01,1.648438,1.882813,1.632813,1.851563,1.121721,103427200
1985-12-01,1.843750,2.156250,1.843750,1.992188,1.206915,137267200
1986-01-01,1.992188,2.078125,1.820313,2.007813,1.217790,122196800
1986-02-01,2.007813,2.140625,1.875000,2.125000,1.288868,169907200
1986-03-01,2.140625,2.562500,2.125000,2.460938,1.492623,161064000
1986-04-01,2.445313,2.679688,2.250000,2.531250,1.536888,113136000
1986-05-01,2.507813,3.109375,2.437500,2.992188,1.816752,163592000
1986-06-01,2.976563,3.273438,2.937500,3.242188,1.968543,139720000
1986-07-01,3.296875,3.546875,2.695313,2.906250,1.766087,185680000
1986-08-01,2.890625,2.976563,2.726563,2.937500,1.785079,125603200
1986-09-01,2.937500,2.953125,2.445313,2.625000,1.596667,170075200
1986-10-01,2.671875,2.882813,2.625000,2.804688,1.705962,95889600
1986-11-01,2.804688,2.984375,2.710938,2.976563,1.810507,105420800
1986-12-01,2.976563,3.093750,2.804688,2.906250,1.767737,135828800
1987-01-01,2.929688,3.320313,2.914063,3.031250,1.845356,180057600
1987-02-01,3.031250,3.460938,3.023438,3.421875,2.083159,118136000
1987-03-01,3.468750,3.773438,3.445313,3.593750,2.187792,153848000
1987-04-01,3.531250,3.710938,3.289063,3.539063,2.156785,156960000
1987-05-01,3.515625,3.671875,3.320313,3.656250,2.228200,135486400
1987-06-01,3.671875,4.367188,3.609375,4.226563,2.575763,173796800
1987-07-01,4.203125,4.734375,4.117188,4.656250,2.840293,172352000
1987-08-01,4.625000,5.359375,4.593750,5.062500,3.088105,177576800
1987-09-01,5.078125,5.125000,4.281250,4.734375,2.890063,168880800
1987-10-01,4.765625,4.859375,2.750000,3.453125,2.107935,292547200
1987-11-01,3.421875,3.703125,2.843750,3.000000,1.831328,162136800
1987-12-01,3.000000,3.390625,2.500000,3.250000,1.983937,206486400
1988-01-01,3.265625,3.578125,3.031250,3.421875,2.091759,119509600
1988-02-01,3.468750,3.671875,3.140625,3.671875,2.244584,111688000
1988-03-01,3.687500,3.843750,3.421875,3.515625,2.149068,126233600
1988-04-01,3.484375,3.750000,3.375000,3.468750,2.123246,87368000
